NAME        READY   UP-TO-DATE   AVAILABLE   AGE
wordpress   1/1     1            1           10d
wordpress   1/4     1            1           10d
wordpress   1/4     1            1           10d
wordpress   1/4     1            1           10d
wordpress   1/4     4            1           10d
wordpress   2/4     4            2           10d
wordpress   3/4     4            3           10d
wordpress   4/4     4            4           10d
wordpress   4/5     4            4           10d
wordpress   4/5     4            4           10d
wordpress   4/5     4            4           10d
wordpress   4/5     5            4           10d
wordpress   5/5     5            5           10d
